id,rating,release_date_cert,imdb_id,title,budget,release_date,revenue,runtime,original_language,original_title,vote_average,vote_count,poster_path,genres_id,genres_name,spoken_languages_name,production_companies_id,production_companies_name,production_companies_origin_country
210479,R,2014-04-25 00:00:00+00:00,tt2692904,Locke,2000000,2014-04-10,4635300,85.0,en,Locke,6.9,1643,/fMotwVtyUr833goyv7EzgAp0bCR.jpg,"[18, 53]","['Drama', 'Thriller']",['English'],"[7437, 28473]","['IM Global', 'Shoebox Films']","['US', 'GB']"
351043,R,2015-08-14 00:00:00+00:00,tt2837336,Amnesiac,3000000,2015-08-14,0,90.0,en,Amnesiac,4.6,112,/dazYq2JoKpKjtVySA9vmLCv16J.jpg,"[53, 9648, 18, 27]","['Thriller', 'Mystery', 'Drama', 'Horror']",['English'],[61428],['Infra-Red Pictures'],['']
323676,R,2016-04-08 00:00:00+00:00,tt2702724,The Boss,29000000,2016-04-07,78636257,91.0,en,The Boss,5.8,967,/zIIoJPunWWAyGIaHAfmjlXWHsjA.jpg,[35],['Comedy'],['English'],"[33, 87017]","['Universal Pictures', 'On the Day']","['US', '']"
445571,R,2018-05-22 00:00:00+00:00,tt2704998,Game Night,37000000,2018-02-22,117501013,100.0,en,Game Night,6.9,3605,/85R8LMyn9f2Lev2YPBF8Nughrkv.jpg,"[9648, 35, 80]","['Mystery', 'Comedy', 'Crime']",['English'],"[12, 37361, 1302, 103376, 105322, 444]","['New Line Cinema', 'Aggregate Films', 'Davis Entertainment', 'Access Entertainment', 'Access Industries', 'Dune Entertainment']","['US', '', 'US', '', '', 'US']"
328111,PG,2016-07-08 00:00:00+00:00,tt2709768,The Secret Life of Pets,75000000,2016-06-18,875457937,87.0,en,The Secret Life of Pets,6.2,6216,/pLK3FxB3Ns8MFrY5dkH6abuhb0B.jpg,"[12, 35, 16, 10751]","['Adventure', 'Comedy', 'Animation', 'Family']",['English'],"[33, 3341, 6704, 1778]","['Universal Pictures', 'Fuji Television Network', 'Illumination Entertainment', 'Dentsu']","['US', 'JP', 'US', 'JP']"
228150,R,2014-10-17 00:00:00+00:00,tt2713180,Fury,68000000,2014-10-15,211817906,135.0,en,Fury,7.5,8022,/pfte7wdMobMF4CVHuOxyu6oqeeA.jpg,"[10752, 18, 28]","['War', 'Drama', 'Action']",['English'],"[39649, 5, 11029, 34034, 47169, 16312, 34]","['Huayi Brothers Media', 'Columbia Pictures', 'QED International', 'LStar Capital', 'Le Grisbi Productions', 'Crave Films', 'Sony Pictures']","['CN', 'US', 'US', 'US', 'US', 'US', 'US']"
201088,R,2015-01-16 00:00:00+00:00,tt2717822,Blackhat,70000000,2015-01-13,17752940,133.0,en,Blackhat,5.3,1317,/6KGxFPcGcyYnN4ct96nmYoabLZ6.jpg,"[80, 53, 28]","['Crime', 'Thriller', 'Action']","['English', 'Bahasa indonesia', 'Español', 'Italiano', '普通话']","[33, 675, 923]","['Universal Pictures', 'Forward Pass', 'Legendary Entertainment']","['US', 'US', 'US']"
253412,PG-13,2015-09-25 00:00:00+00:00,tt2719848,Everest,55000000,2015-09-10,203427584,121.0,en,Everest,6.8,3354,/4xmndWnTYTE4bDdlWrkZyaGcZlo.jpg,"[12, 18, 28]","['Adventure', 'Drama', 'Action']",['English'],"[10246, 10163, 10221, 62693, 33, 40106]","['Cross Creek Pictures', 'Working Title Films', 'Walden Media', 'RVK Studios', 'Universal Pictures', 'Free State Pictures']","['US', 'GB', 'US', 'IS', 'US', '']"
408266,PG-13,2017-08-25 00:00:00+00:00,tt2720826,Birth of the Dragon,0,2017-08-25,6901965,103.0,en,Birth of the Dragon,5.7,193,/a7HY9butbuO8XwB3uBxQ98MBxd4.jpg,"[28, 18]","['Action', 'Drama']","['普通话', 'English']","[4205, 94431, 3172, 10339]","['Groundswell Productions', 'Kylin Pictures', 'Blumhouse Productions', 'WWE Studios']","['US', '', 'US', 'US']"
228205,PG-13,2015-04-10 00:00:00+00:00,tt2726560,The Longest Ride,34000000,2015-04-09,63013281,128.0,en,The Longest Ride,7.5,2232,/qdUVfvPBvT6cetDDM7rn8y2CNZE.jpg,"[18, 10749]","['Drama', 'Romance']",['English'],"[711, 12292]","['Fox 2000 Pictures', 'Temple Hill Entertainment']","['US', 'US']"
405774,R,2018-12-21 00:00:00+00:00,tt2737304,Bird Box,19800000,2018-12-13,0,124.0,en,Bird Box,6.9,6528,/rGfGfgL2pEPCfhIvqHXieXFn7gp.jpg,"[53, 18, 878]","['Thriller', 'Drama', 'Science Fiction']",['English'],"[33, 13778, 25998]","['Universal Pictures', 'Bluegrass Films', 'Chris Morgan Productions']","['US', 'US', 'US']"
226354,PG,2013-11-22 00:00:00+00:00,tt2739338,The Christmas Candle,0,2013-11-22,0,100.0,en,The Christmas Candle,6.3,17,/7PpESUrwE2du9tWTjbQia4j9IKs.jpg,"[18, 10751]","['Drama', 'Family']",['English'],"[39281, 10283, 19404, 36988]","['EchoLight Studios', 'Impact Productions LLC', 'Pinewood Studios', 'Big Book Media']","['', '', 'GB', '']"
222649,R,2014-08-29 00:00:00+00:00,tt2752688,Rosewater,0,2014-11-07,0,103.0,en,Rosewater,6.6,135,/iTzGgTjaB16vVDfBOp6jBvVbwzr.jpg,[18],['Drama'],['English'],"[6408, 3263, 8290]","['International Traders', 'OddLot Entertainment', 'Busboy Productions']","['', 'US', '']"
79316,R,2014-01-17 00:00:00+00:00,tt2752758,Devil's Due,7000000,2014-01-08,36433975,89.0,en,Devil's Due,4.4,341,/4Urk8rbiIif4gXt6MVC9r173Zrb.jpg,[27],['Horror'],['English'],"[22213, 1302, 25]","['TSG Entertainment', 'Davis Entertainment', '20th Century Fox']","['US', 'US', 'US']"
283445,R,2015-08-21 00:00:00+00:00,tt2752772,Sinister 2,10000000,2015-08-19,52882018,97.0,en,Sinister 2,5.8,1358,/3g62bkVCUAyAi1uYa2dO08CIo7p.jpg,[27],['Horror'],"['English', 'Español']","[69110, 3172, 2514, 7625, 8147, 7437, 69111]","['Tank Caterpillar', 'Blumhouse Productions', 'Alliance Films', 'Automatik Entertainment', 'Entertainment One', 'IM Global', 'Steady Aim']","['', 'US', 'CA', 'US', 'CA', 'US', '']"
177494,PG-13,2014-03-08 00:00:00+00:00,tt2771372,Veronica Mars,6000000,2014-03-13,3485127,107.0,en,Veronica Mars,6.7,800,/1qUhPDaNalxl7CpVqcbjm09fZz0.jpg,"[35, 18, 80]","['Comedy', 'Drama', 'Crime']",['English'],"[19019, 13034, 19378, 95406, 174]","['Rob Thomas Productions', 'Warner Bros. Interactive Entertainment', 'Spondoolie Productions', 'In The Groove', 'Warner Bros. Pictures']","['US', '', '', '', 'US']"
284296,R,2014-12-12 00:00:00+00:00,tt2784678,Top Five,0,2014-12-12,25434291,102.0,en,Top Five,6.2,321,/rNEzA11WGGCPw0kHIMj0jik2MoV.jpg,"[18, 35]","['Drama', 'Comedy']",['English'],"[4, 10351, 24021]","['Paramount', 'IAC Film', 'Jax Media']","['US', '', '']"
339988,PG-13,2017-04-26 00:00:00+00:00,tt4287320,The Circle,18000000,2017-04-27,20497844,110.0,en,The Circle,5.5,3244,/bQVqd5rWrx5GbXhJNuvKy4Viz6j.jpg,"[18, 53, 878]","['Drama', 'Thriller', 'Science Fiction']",['English'],"[4171, 53299, 1785, 47729]","['Playtone', 'Image Nation', 'Likely Story', 'STX Entertainment']","['US', '', 'US', 'US']"
301748,R,2014-11-08 00:00:00+00:00,tt2796678,The Opposite Sex,3300000,2014-11-08,45000,96.0,en,The Opposite Sex,4.1,20,/4OGyobNioLlo1aj4ioxxmsssSCj.jpg,[35],['Comedy'],['English'],"[29646, 37765]","['Magna Global Entertainment', 'Verdi Productions']","['US', '']"
300668,R,2018-02-23 00:00:00+00:00,tt2798920,Annihilation,40000000,2018-02-22,43070915,115.0,en,Annihilation,6.3,5617,/d3qcpfNwbAMCNqWDHzPQsUYiUgS.jpg,"[878, 27]","['Science Fiction', 'Horror']",['English'],"[284, 4, 258, 82819]","['DNA Films', 'Paramount', 'Scott Rudin Productions', 'Skydance Media']","['GB', 'US', 'US', 'US']"
